222.44.83.128 - - [10/Jan/2019:16:50:06 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1547081302250 HTTP/1.1" 200 1296
222.44.83.128 - - [10/Jan/2019:16:50:06 +0800] "GET /gdjk/train/zltj.do?_=1547081302251 HTTP/1.1" 200 8289
222.44.83.128 - - [10/Jan/2019:16:50:08 +0800] "POST /gdjk/lj/queryZltjList.do HTTP/1.1" 200 181
222.44.83.128 - - [10/Jan/2019:16:50:08 +0800] "POST /gdjk/lj/queryZltjList.do HTTP/1.1" 200 181
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/login.do HTTP/1.1" 200 3993
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1641
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
117.184.186.114 - - [10/Jan/2019:17:04:46 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
117.184.186.114 - - [10/Jan/2019:17:04:52 +0800] "POST /gdjk/login.do HTTP/1.1" 200 9062
117.184.186.114 - - [10/Jan/2019:17:04:52 +0800] "GET /gdjk/train/css/main.css HTTP/1.1" 200 4375
117.184.186.114 - - [10/Jan/2019:17:04:52 +0800] "GET /gdjk/train/css/icon.css HTTP/1.1" 200 4947
117.184.186.114 - - [10/Jan/2019:17:04:52 +0800] "GET /gdjk/train/easyui/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
117.184.186.114 - - [10/Jan/2019:17:04:52 +0800] "GET /gdjk/train/easyui/datagrid-groupview.js HTTP/1.1" 200 13084
117.184.186.114 - - [10/Jan/2019:17:04:52 +0800] "GET /gdjk/train/easyui/easyui.css HTTP/1.1" 200 69986
117.184.186.114 - - [10/Jan/2019:17:04:52 +0800] "GET /gdjk/train/easyui/jquery.min.js HTTP/1.1" 200 95957
